metric,method_1,method_2,mean_diff,ci_lower_95,ci_upper_95,cohen_dz,rank_biserial,wilcoxon_stat,raw_p,holm_adjusted_p
mean_grid_stability,MeanSD,Percentile,0.023323168316831677,0.02251627428099952,0.024134981612446954,1.2624562600106402,0.9385226989415472,67811.0,1.0246916005639402e-303,5.1234580028197014e-303
mean_grid_stability,MeanSD,MaxMin,0.018694370579915125,0.016524016030174442,0.020871344413012718,0.3626495091725577,0.3897481924707056,673123.0,5.574453443428027e-54,1.672336033028408e-53
mean_grid_stability,MeanSD,QFactor,-0.06225195190947667,-0.06507611975483263,-0.05948187364450733,-0.9802766299645246,-0.8696951565014392,143729.5,4.152315596775373e-261,1.660926238710149e-260
mean_grid_stability,MeanSD,MedianMAD,0.05510330975954738,0.053407996699669974,0.05674565205091939,1.4742333694345335,0.9989447202012647,1164.0,0.0,0.0
mean_grid_stability,Percentile,MaxMin,-0.004628797736916555,-0.0072146915370108495,-0.002025585337105152,-0.07604923494223567,-0.045965413295256226,1052324.0,0.06808967329434765,0.06808967329434765
mean_grid_stability,Percentile,QFactor,-0.08557512022630835,-0.08882166643092881,-0.08242228748231965,-1.1750759084731284,-0.95534280727998,49258.0,0.0,0.0
mean_grid_stability,Percentile,MedianMAD,0.0317801414427157,0.030484135785007076,0.03306852781706743,1.1088622846818288,0.9635724484939144,40180.5,0.0,0.0
mean_grid_stability,MaxMin,QFactor,-0.08094632248939179,-0.08299651991984913,-0.07897626449787835,-1.6833597869691697,-1.0,0.0,0.0,0.0
mean_grid_stability,MaxMin,MedianMAD,0.03640893917963226,0.03279489957567187,0.039762893917963234,0.45404650471965136,0.3658607012533714,699471.5,8.87133306473961e-48,1.774266612947922e-47
mean_grid_stability,QFactor,MedianMAD,0.11735526166902405,0.1130948481848185,0.12147417385667138,1.2308546568839656,0.9757185920536706,26783.0,0.0,0.0
