comparator,term,coef,std_err_hc3,t_stat,p_value,ci_lower_95,ci_upper_95
MeanSD,Intercept,0.14044448844884544,0.004553176315887444,30.845387638249605,6.459088980060516e-209,0.1315204268544453,0.1493685500432456
MeanSD,C(N)[T.15],-0.01797590759075999,0.004488386443271678,-4.00498215070291,6.202216420652049e-05,-0.026772983368270307,-0.009178831813249671
MeanSD,C(N)[T.20],-0.03075115511551169,0.004167462564601397,-7.3788677495781965,1.5964130622530586e-13,-0.038919231649049355,-0.022583078581974024
MeanSD,C(N)[T.25],-0.040674587458746476,0.004008928280083566,-10.146000281626046,3.45223385841588e-24,-0.04853194250431437,-0.03281723241317858
MeanSD,C(N)[T.30],-0.04843201320132042,0.003935226786387585,-12.307299129202027,8.274612175297163e-35,-0.05614491597363738,-0.04071911042900346
MeanSD,C(N)[T.40],-0.059093069306930944,0.003836034225314658,-15.40472942523961,1.5212451842340748e-53,-0.06661155823201068,-0.051574580381851205
MeanSD,C(N)[T.50],-0.06645610561056213,0.0038699628124286736,-17.17228532458591,4.282228446470951e-66,-0.07404109334443167,-0.058871117876692594
MeanSD,C(N)[T.75],-0.07767887788779,0.004020330314307344,-19.321516346890807,3.540946726235869e-83,-0.08555858050978699,-0.06979917526579302
MeanSD,C(N)[T.100],-0.08583432343234355,0.004209196545194238,-20.392092056224623,1.9655857834221934e-92,-0.09408419706477468,-0.07758444979991243
MeanSD,C(N)[T.200],-0.09699669966996712,0.004597555428474252,-21.097450847298756,8.394110372086291e-99,-0.10600774272670327,-0.08798565661323096
MeanSD,C(distribution)[T.Compressed Normal],-0.08320910891089064,0.0033669929815555587,-24.71318157379937,7.71801323529875e-135,-0.08980829389093867,-0.07660992393084262
MeanSD,C(distribution)[T.Left-skewed],-0.01817049504950483,0.0019364558016445336,-9.383377113009008,6.389277008052567e-21,-0.021965878678381755,-0.014375111420627903
MeanSD,C(distribution)[T.Normal],-0.07307603960396018,0.0019167939281045634,-38.12409802248382,0.0,-0.07683288666883019,-0.06931919253909018
MeanSD,C(distribution)[T.Right-skewed],-0.09319702970297015,0.0026749912477454603,-34.840125096304,6.008007317298232e-266,-0.09843991620751112,-0.08795414319842919
MeanSD,C(distribution)[T.Uniform],0.005770891089108852,0.002378072667467803,2.4267093129890593,0.015236458393371531,0.0011099543082528614,0.010431827869964841
MeanSD,C(CE)[T.15.0],-0.003437458745874741,0.0022730087658853746,-1.5122945399358343,0.13045894945634715,-0.00789247406355391,0.001017556571804429
MeanSD,C(CE)[T.20.0],-0.004538778877887988,0.002231262777482235,-2.0341749630267945,0.041933957951153365,-0.008911973561797978,-0.00016558419397799846
MeanSD,C(CE)[T.25.0],-0.0056920792079210684,0.0021581871452243883,-2.63743541449426,0.008353553106069932,-0.009922048284458185,-0.0014621101313839523
MeanSD,C(CE)[T.30.0],-0.005614686468647011,0.002635144974653557,-2.1306935757434653,0.033114394685241695,-0.010779475713009697,-0.0004498972242843258
MeanSD,C(Contamination)[T.0.01_upper],0.0008568646864683298,0.0063251590209373945,0.13546927178146134,0.8922408578345914,-0.011540219191057594,0.013253948563994252
MeanSD,C(Contamination)[T.0.05_lower],0.0003755445544549496,0.006325913013687594,0.059366063624708566,0.9526605426711039,-0.01202301712170597,0.012774106230615869
MeanSD,C(Contamination)[T.0.05_upper],0.009832805280527603,0.007058405421028042,1.3930632620271728,0.1636006613013371,-0.004001415132969635,0.02366702569402484
MeanSD,C(Contamination)[T.0.0_clean],-0.00018052805280505027,0.0061627078419848715,-0.029293625048255764,0.9766304111966749,-0.012259213470337956,0.011898157364727857
MeanSD,C(Contamination)[T.0.1_lower],0.004848283828382382,0.006511678078996051,0.7445521368786514,0.45654251177623006,-0.007914370685368844,0.017610938342133606
MeanSD,C(Contamination)[T.0.1_upper],0.11387023102310198,0.010857260706509024,10.487933752464448,9.815130988726594e-26,0.09259039106758239,0.13515007097862158
MeanSD,C(N)[T.15]:C(Contamination)[T.0.01_upper],-0.00289306930693021,0.005992216158384486,-0.4828045635306633,0.6292345102199415,-0.014637597164942763,0.008851458551082343
MeanSD,C(N)[T.20]:C(Contamination)[T.0.01_upper],-0.0017217821782175857,0.0056919940824125825,-0.3024919129023056,0.7622770974580569,-0.01287788557996136,0.009434321223526188
MeanSD,C(N)[T.25]:C(Contamination)[T.0.01_upper],-0.0017099009900985991,0.005497758514181396,-0.31101784221477385,0.7557870577204873,-0.012485309673592576,0.009065507693395378
MeanSD,C(N)[T.30]:C(Contamination)[T.0.01_upper],-0.0019280528052802624,0.00548813107954139,-0.35131318427645464,0.7253534049298043,-0.012684592063616313,0.008828486453055789
MeanSD,C(N)[T.40]:C(Contamination)[T.0.01_upper],-0.0013521452145210903,0.005493370722702179,-0.24614126422109964,0.8055728812368064,-0.01211895398474413,0.009414663555701948
MeanSD,C(N)[T.50]:C(Contamination)[T.0.01_upper],-0.0022686468646859605,0.0055497786742227774,-0.40878150244499156,0.6827000157537235,-0.013146013188331054,0.008608719458959132
MeanSD,C(N)[T.75]:C(Contamination)[T.0.01_upper],0.04947821782178274,0.0059313984350203575,8.341745772742533,7.320169684513654e-17,0.037852890511185594,0.06110354513237988
MeanSD,C(N)[T.100]:C(Contamination)[T.0.01_upper],0.04583828382838337,0.006128344478349436,7.479717236901982,7.448269500083449e-14,0.03382694936596357,0.05784961829080317
MeanSD,C(N)[T.200]:C(Contamination)[T.0.01_upper],0.0394221122112217,0.0067312443743304555,5.856586095961335,4.72478700035461e-09,0.026229115666396158,0.052615108756047246
MeanSD,C(N)[T.15]:C(Contamination)[T.0.05_lower],0.0030211221122117783,0.006363535988602399,0.47475524890923054,0.6349614333724316,-0.00945117923977341,0.015493423464196968
MeanSD,C(N)[T.20]:C(Contamination)[T.0.05_lower],0.0010313531353137444,0.0058854230887502275,0.17523857159651587,0.860892177477421,-0.010503864152417183,0.012566570423044673
MeanSD,C(N)[T.25]:C(Contamination)[T.0.05_lower],0.0013590759075912332,0.005631591981899058,0.2413306773572279,0.8092988363100402,-0.009678641552555465,0.01239679336773793
MeanSD,C(N)[T.30]:C(Contamination)[T.0.05_lower],0.002415841584158914,0.00556557089292108,0.434068962670416,0.6642383630906168,-0.008492476919370832,0.01332416008768866
MeanSD,C(N)[T.40]:C(Contamination)[T.0.05_lower],0.0012976897689774972,0.005476084033333814,0.23697404223131868,0.8126769280477919,-0.009435237712671615,0.01203061725062661
MeanSD,C(N)[T.50]:C(Contamination)[T.0.05_lower],-0.00014983498349783618,0.005423682014947823,-0.027626063453736163,0.9779603939657735,-0.010780056396393201,0.010480386429397527
MeanSD,C(N)[T.75]:C(Contamination)[T.0.05_lower],-0.0012237623762371575,0.005695379333836219,-0.2148693360891331,0.8298691927527563,-0.012386500748849871,0.009938975996375556
MeanSD,C(N)[T.100]:C(Contamination)[T.0.05_lower],-0.00016039603960355068,0.005883945726849026,-0.027259945460007845,0.9782524038790325,-0.011692717751215994,0.011371925672008891
MeanSD,C(N)[T.200]:C(Contamination)[T.0.05_lower],-0.0005828382838278461,0.006452390125229086,-0.0903290521056572,0.9280257342707836,-0.013229290543478744,0.012063613975823053
MeanSD,C(N)[T.15]:C(Contamination)[T.0.05_upper],0.09050330033003334,0.008624782736200152,10.493400598970528,9.263317608383898e-26,0.07359903679259822,0.10740756386746847
MeanSD,C(N)[T.20]:C(Contamination)[T.0.05_upper],0.08074488448844898,0.007316677244484582,11.035731355967034,2.5695241419440127e-28,0.06640446060275543,0.09508530837414253
MeanSD,C(N)[T.25]:C(Contamination)[T.0.05_upper],0.0748445544554459,0.006333922057009279,11.816462814319133,3.209140871407792e-32,0.062430295342823856,0.08725881356806794
MeanSD,C(N)[T.30]:C(Contamination)[T.0.05_upper],0.0722917491749177,0.005930783699098652,12.189240552796496,3.5471154014820476e-34,0.0606676267245871,0.08391587162524829
MeanSD,C(N)[T.40]:C(Contamination)[T.0.05_upper],0.06597260726072639,0.005578368848989431,11.82650503160577,2.8475290126987086e-32,0.05503920522422695,0.07690600929722582
