cell_id,N,distribution,CE,epsilon,direction,rho,method,replications,requested_m,actual_m,mean_grid_stability,reference_disagreement,mean_boundary_displacement,boundary_rmse,pass_rate_mean,pass_rate_sd,grade_count_sd_mean,competency_override_rate,infeasible_count
0,10,Normal,10.0,0.0,clean,0.6,MaxMin,1000,0.0,0.0,0.7654455445544555,0.6810495049504951,15.67415736093538,18.98847031668374,1.0,0.0,0.09118632495966267,0.0,0
0,10,Normal,10.0,0.0,clean,0.6,MeanSD,1000,0.0,0.0,0.7858217821782177,0.21683168316831683,3.4741544565595017,4.371876168820377,0.9426000000000001,0.052801780538425276,0.09057143689112171,0.0,0
0,10,Normal,10.0,0.0,clean,0.6,MedianMAD,1000,0.0,0.0,0.7636831683168315,0.2530594059405941,4.478849631822661,5.684346723577854,0.9160000000000001,0.08849763743644139,0.08422997917718628,0.0,0
0,10,Normal,10.0,0.0,clean,0.6,Percentile,1000,0.0,0.0,0.7945247524752476,0.23281188118811885,4.0325217354357035,5.046397816230472,0.9000000000000002,2.221557105636704e-16,1.7703033185542483e-15,0.0,0
0,10,Normal,10.0,0.0,clean,0.6,QFactor,1000,0.0,0.0,0.8457920792079208,0.5490198019801981,9.812737377978737,12.26227530540203,1.0,0.0,0.07821166556306104,0.0,0
1,10,Normal,10.0,0.01,lower,0.6,MaxMin,1000,0.1,0.0,0.7631683168316833,0.6816138613861386,15.667313526954523,18.979696388212282,1.0,0.0,0.08924052669223012,0.0,0
1,10,Normal,10.0,0.01,lower,0.6,MeanSD,1000,0.1,0.0,0.7832178217821781,0.21877227722772277,3.547815932207169,4.504287300985211,0.9402,0.05465296832695316,0.09137633325739654,0.0,0
1,10,Normal,10.0,0.01,lower,0.6,MedianMAD,1000,0.1,0.0,0.7566633663366336,0.2563861386138614,4.563869373296349,5.828921564568704,0.9227000000000002,0.08855818738294359,0.08596878566899366,0.0,0
1,10,Normal,10.0,0.01,lower,0.6,Percentile,1000,0.1,0.0,0.7949009900990098,0.2327128712871287,4.074913242438107,5.124052232716512,0.9000000000000002,2.221557105636704e-16,1.7703033185542483e-15,0.0,0
1,10,Normal,10.0,0.01,lower,0.6,QFactor,1000,0.1,0.0,0.846009900990099,0.5551881188118811,10.009810112828179,12.487172705541091,1.0,0.0,0.07760599769474306,0.0,0
